problem,best_distance,average_distance,runtime_s,runs
problem_g_200,13680.801005672969,14448.869815929367,91.67247776039986,10
problem_r1_200,2682.13982358739,2816.1036638932505,91.88890772589949,10
problem_r2_200,-8510.283221168424,-8149.400242715007,91.79913261139919,10
